Area_Code,Area_Name
95AA01,Aldergrove
95AA02,Balloo
95AA03,Ballycraigy
95AA04,Clady
95AA05,Cranfield
95AA06,Crumlin
95AA07,Drumanaway
95AA08,Farranshane
95AA09,Fountain Hill
95AA10,Greystone
95AA11,Massereene
95AA12,Parkgate
95AA13,Randalstown
95AA14,Shilvodan
95AA15,Springfarm
95AA16,Steeple
95AA17,Stiles
95AA18,Templepatrick
95AA19,Toome
95BB01,Ballygowan
95BB02,Ballyrainey
95BB03,Ballywalter
95BB04,Bradshaw's Brae
95BB05,Carrowdore
95BB06,Central
95BB07,Comber East
95BB08,Comber North
95BB09,Comber West
95BB10,Donaghadee North
95BB11,Donaghadee South
95BB12,Glen
95BB13,Gregstown
95BB14,Killinchy
95BB15,Kircubbin
95BB16,Lisbane
95BB17,Loughries
95BB18,Millisle
95BB19,Movilla
95BB20,Portaferry
95BB21,Portavogie
95BB22,Scrabo
95BB23,Whitespots
95CC01,Abbey Park
95CC02,Ballymartrim
95CC03,Callan Bridge
95CC04,Carrigatuke
95CC05,Charlemont
95CC06,Demesne
95CC07,Derrynoose
95CC08,Downs
95CC09,Hamiltonsbawn
95CC10,Hockley
95CC11,Keady
95CC12,Killeen
95CC13,Killylea
95CC14,Laurelvale
95CC15,Loughgall
95CC16,Markethill
95CC17,Milford
95CC18,Observatory
95CC19,Poyntz Pass
95CC20,Rich Hill
95CC21,Tandragee
95CC22,The Mall
95DD01,Academy
95DD02,Ahoghill
95DD03,Ardeevin
95DD04,Ballee
95DD05,Ballykeel
95DD06,Ballyloughan
95DD07,Broughshane
95DD08,Castle Demesne
95DD09,Craigywarren
95DD10,Cullybackey
95DD11,Dunclug
95DD12,Dunminning
95DD13,Fair Green
95DD14,Galgorm
95DD15,Glenravel
95DD16,Glenwhirry
95DD17,Grange
95DD18,Harryville
95DD19,Kells
95DD20,Moat
95DD21,Park
95DD22,Portglenone
95DD23,Slemish
95DD24,Summerfield
95EE01,Ballyhoe and Corkey
95EE02,Benvardin
95EE03,Carnany
95EE04,Clogh Mills
95EE05,Dervock
95EE06,Dunloy
95EE07,Fairhill
95EE08,Glebe
95EE09,Killoquin Lower
95EE10,Killoquin Upper
95EE11,Knockaholet
95EE12,Newhill
95EE13,Route
95EE14,Seacon
95EE15,Stranocum
95EE16,The Vow
95FF01,Ballydown
95FF02,Ballyward
95FF03,Banbridge West
95FF04,Bannside
95FF05,Dromore North
95FF06,Dromore South
95FF07,Edenderry
95FF08,Fort
95FF09,Gilford
95FF10,Gransha
95FF11,Katesbridge
95FF12,Lawrencetown
95FF13,Loughbrickland
95FF14,Quilly
95FF15,Rathfriland
95FF16,Seapatrick
95FF17,The Cut
95GG01,Andersonstown
95GG02,Ardoyne
95GG03,Ballyhackamore
95GG04,Ballymacarrett
