DATA_OWNER,COUNTRY,LOCATION_NAME,REGION,AREA,AREA_NAME,ABC_SITE,TOP_TIER_SITE,SITE_PARENT_ID,SITE_PARENT_NAME,GEO_WATERBODY,SITE_ID,SITE_NAME,SHREVE_LINK_NO,DS_SHREVE_LINK_NO,ALTITUDE_M,CATCHMENT_AREA_US_KM2,DISTANCE_TO_SOURCE_KM,DISTANCE_TO_TIDAL_LIMIT_KM,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,AGE_BAND,RUN_1,RUN_2,RUN_3,RUN_4,RUN_5,RUN_6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER AIRE CATCHMENT/RIVER AIRE/CARLETON BRIDGE/,River Aire catchment,4255,River Aire,GB104027063031,4240,Carleton Bridge,269,269,91.00,229.77,27.106,161.476,141562,26-06-2014,2014,SD9820250151,398202,450151,500.00,10.00,5000,10.00,5000,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,609044,154,Grayling,Thymallus thymallus,Age?,5,,,,,,5,,,,,Completed,No,Yes,04-07-2014 10:47:02
Environment Agency,England,North East North East,Yorkshire and North East,North East,Northumbria,"RIVER TEES/SAP/BT ANNUAL, CLOW BECK - MONK END FARM/",River Tees,3439,River Tees,GB103025072190,3444,"SAP/BT Annual, Clow Beck - Monk End Farm",1007,1058,26.00,852.01,89.928,70.045,143512,15-10-2014,2014,NZ2820010300,428200,510300,100.00,3.20,320,3.20,320,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,610812,154,Grayling,Thymallus thymallus,>1+,0,,,,,,0,,,,,Completed,No,No,16-10-2014 15:40:37
Environment Agency,England,Midlands East,Midlands,East,Derbyshire Nottinghamshire and Leicestershire,TRENT/DERWENT/NOE/PEAKSHOLE WATER/HOPE/,TRENT,3576,PEAKSHOLE WATER,GB104028057860,3577,Hope,1,13,162.00,0.59,4.978,260.063,139764,23-09-2013,2013,SK1713383349,417133,383349,100.00,5.00,500,5.00,500,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,568095,111,Brown / sea trout,Salmo trutta,>1+,8,1,,,,,9,9,0,1,0,Completed,No,No,24-10-2013 09:43:53
Environment Agency,England,Thames South East (Provincial),South East,West Thames,West Thames,RIVER WEY/TILLINGBOURNE/SHALFORD/,River Wey,12660,Tillingbourne,GB106039017840,12679,Shalford,10,12,35.00,36.81,18.044,96.275,141541,03-07-2014,2014,TQ0130947433,501309,147433,100.00,5.02,502,5.02,502,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,590356,114,Rainbow trout,Oncorhynchus mykiss,>1+,0,0,,,,,0,0,0,0,0,Completed,No,No,04-07-2014 08:49:27
Environment Agency,England,North East North East,Yorkshire and North East,North East,Northumbria,RIVER WEAR/RIVER WEAR AT COWSHILL/,River Wear,10698,River Wear,GB103024077500,10824,River Wear at Cowshill,53,54,354.00,26.50,8.043,113.316,141642,10-07-2014,2014,NY8557440173,385574,540173,100.00,6.00,600,6.00,600,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,592734,118,Atlantic salmon,Salmo salar,0+,275,,,,,,275,,,,,Completed,No,No,10-07-2014 15:59:35
Environment Agency,England,Anglian Eastern (Norwich),Anglian,Eastern,Essex Norfolk and Suffolk,GLAVEN CATCHMENT/GLAVEN/LETHERINGSETT/,Glaven catchment,7201,Glaven,GB105034055780,1622,Letheringsett,14,15,9.00,60.57,13.756,7.934,141718,06-06-2014,2014,TG0609638974,606096,338974,140.00,4.80,672,4.80,672,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,593134,111,Brown / sea trout,Salmo trutta,1+,0,0,,,,,0,0,0,0,0,Completed,No,No,16-07-2014 13:43:41
Environment Agency,England,South West Wessex (South - Blandford),South West,Wessex,Wessex,AVON (HAMPSHIRE)/MAIN AVON SITES/AMESBURY ABBEY WEIR/,Avon (Hampshire),13528,Main Avon Sites,GB108043022350,13269,Amesbury Abbey Weir,,,,,,,142794,03-09-2014,2014,SU1511841286,415118,141286,0.00,0.00,0,0.00,0,PDC ELECTRIC FISHING,CATCH PUE/T SAMPLE,1,606669,111,Brown / sea trout,Salmo trutta,1+,0,,,,,,0,,,,,Completed,No,No,16-09-2014 15:38:32
Environment Agency,England,Southern Solent and South Downs,South East,Solent and South Downs,Solent and South Downs,ADUR/ADUR EAST ARM/STAIRBRIDGE LANE/,Adur,17359,Adur East Arm,GB107041012210,7074,Stairbridge Lane,39,40,12.00,39.80,14.100,28.915,145758,05-08-2015,2015,TQ2729220953,527292,120953,100.00,3.56,356,3.56,356,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,631312,111,Brown / sea trout,Salmo trutta,>1+,0,0,0,,,,0,0,0,0,0,Completed,No,No,07-08-2015 11:02:04
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/SWANSIDE BECK/SMITHIES BRIDGE (A59)/,River Ribble,5704,Swanside Beck,GB112071065530,5705,Smithies Bridge (A59),45,487,67.00,27.32,9.575,62.911,145933,11-08-2015,2015,SD7740345479,377403,445479,43.20,7.88,340,7.88,340,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,639223,118,Atlantic salmon,Salmo salar,Age?,4,,,,,,4,,,,,Completed,No,No,17-08-2015 10:45:10
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/SWANSIDE BECK/SMITHIES BRIDGE (A59)/,River Ribble,5704,Swanside Beck,GB112071065530,5705,Smithies Bridge (A59),45,487,67.00,27.32,9.575,62.911,142297,14-07-2014,2014,SD7740345479,377403,445479,71.30,6.90,492,6.90,492,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,604734,118,Atlantic salmon,Salmo salar,1+,16,9,7,,,,32,39,7,0,0,Completed,No,No,18-08-2014 09:38:48
